device,hospital,education,retail,residence,recreation,industrial,office_facilities,public_institution,transportation
1,1,6,1,11,5,0,0,1,0
2,1,6,1,11,5,0,0,1,0
3,1,6,1,11,5,0,0,1,0
4,0,4,0,9,2,0,0,0,0
5,0,4,1,8,0,2,0,1,0
6,0,2,0,11,0,2,1,1,0
7,2,8,9,14,1,0,1,0,0
8,2,8,9,14,1,0,1,0,0
9,0,3,0,4,0,0,0,1,0
10,0,10,0,14,3,0,0,1,0
11,0,10,0,14,3,0,0,1,0
12,0,10,0,14,3,0,0,1,0
13,0,1,0,10,4,0,1,3,0
14,1,1,4,18,0,0,0,1,0
15,1,1,4,18,0,0,0,1,0
16,1,1,4,18,0,0,0,1,0
17,2,7,0,12,1,2,1,1,0
18,2,7,0,12,1,2,1,1,0
19,2,7,0,12,1,2,1,1,0
20,0,4,6,12,1,0,1,1,0
21,0,4,6,12,1,0,1,1,0
22,0,4,6,12,1,0,1,1,0
23,1,5,0,11,1,2,0,0,0
24,1,5,0,11,1,2,0,0,0
25,1,5,0,10,3,0,0,1,0
26,3,8,1,12,1,0,1,0,0
27,1,1,1,8,1,1,1,1,0
28,3,8,1,12,1,0,1,0,0
29,3,8,1,12,1,0,1,0,0
30,0,5,2,13,2,0,0,2,0
31,0,5,2,13,2,0,0,2,0
32,0,5,2,13,2,0,0,2,0
33,0,5,2,13,2,0,0,2,0
34,0,3,0,12,1,0,0,2,0
35,0,3,0,12,1,0,0,2,0
36,0,3,0,12,1,0,0,2,0
37,4,2,0,8,4,0,1,2,0
38,4,2,0,8,4,0,1,2,0
39,4,2,0,8,4,0,1,2,0
40,1,10,0,12,3,0,0,1,0
41,1,10,0,12,3,0,0,1,0
42,0,3,0,14,0,0,0,0,0
43,0,1,0,8,2,3,0,0,0
44,0,1,0,8,1,1,0,3,0
45,0,1,0,8,1,1,0,3,0
46,0,7,0,9,3,1,0,0,0
47,0,7,0,9,3,1,0,0,0
48,2,7,0,13,1,0,1,0,0
49,0,1,0,8,2,1,0,1,0
50,3,7,2,9,3,1,1,1,0
51,0,1,0,11,1,0,0,2,0
52,0,1,0,11,1,0,0,2,0
53,0,10,2,10,0,2,0,0,0
54,0,10,2,10,0,2,0,0,0
55,1,6,8,8,3,1,0,0,0
56,1,6,8,8,3,1,0,0,0
57,2,3,2,7,3,0,0,1,0
58,2,3,2,7,3,0,0,1,0
59,0,3,1,4,1,0,1,2,0
60,0,3,1,4,1,0,1,2,0
61,0,1,0,8,1,1,0,3,0
62,2,7,0,13,1,0,1,0,0
63,0,1,0,10,0,0,0,1,0
64,0,1,0,10,0,0,0,1,0
65,0,1,0,8,2,3,0,0,0
66,0,0,0,10,1,1,0,0,0
67,0,0,0,10,1,1,0,0,0
68,0,0,0,10,1,1,0,0,0
69,1,5,0,10,3,0,0,1,0
70,2,7,0,12,1,2,1,1,0
71,1,10,0,12,3,0,0,1,0
72,0,7,0,9,3,1,0,0,0
73,0,3,0,14,0,0,0,0,0
74,1,0,0,10,1,0,0,2,0
75,1,0,0,10,1,0,0,2,0
76,1,0,0,10,1,0,0,2,0
77,1,1,0,8,0,0,0,2,0
78,1,1,0,8,0,0,0,2,0
79,1,1,0,8,0,0,0,2,0
80,1,1,0,8,0,0,0,2,0
81,0,4,0,6,0,1,0,2,0
82,0,4,0,6,0,1,0,2,0
83,0,4,0,6,0,1,0,2,0
84,0,3,3,0,1,0,1,1,0
85,0,3,1,4,0,1,1,2,0
86,0,3,1,4,0,1,1,2,0
87,0,3,1,4,0,1,1,2,0
88,0,3,1,4,0,1,1,2,0
89,0,0,0,0,1,8,0,3,0
90,0,0,0,0,1,8,0,3,0
91,0,3,3,0,1,0,1,1,0
92,0,3,3,0,1,0,1,1,0
93,1,2,0,2,0,1,0,1,1
94,1,2,0,2,0,1,0,1,1
95,1,2,0,2,0,1,0,1,1
96,0,4,0,5,0,8,1,3,0
97,0,4,0,5,0,8,1,3,0
98,0,4,0,5,0,8,1,3,0
99,0,4,0,5,0,8,1,3,0
100,0,1,0,9,1,0,0,2,0
101,0,1,0,9,1,0,0,2,0
102,0,1,0,9,1,0,0,2,0
103,0,1,0,9,1,0,0,2,0
104,0,2,0,5,1,0,0,1,0
105,0,2,0,5,1,0,0,1,0
106,0,2,0,8,2,0,0,0,0
107,0,2,0,8,2,0,0,0,0
108,0,2,0,8,2,0,0,0,0
109,0,0,2,6,3,0,2,0,0
110,0,0,2,6,3,0,2,0,0
111,0,5,2,14,1,2,0,1,0
112,0,5,2,14,1,2,0,1,0
113,0,5,2,14,1,2,0,1,0
114,0,5,2,14,1,2,0,1,0
115,1,2,0,11,1,0,0,1,0
116,1,2,0,11,1,0,0,1,0
117,1,2,0,11,1,0,0,1,0
118,0,0,0,2,1,8,0,1,0
119,0,0,0,2,1,8,0,1,0
120,0,0,0,5,6,0,0,0,0
121,0,1,0,0,8,0,0,4,0
122,0,1,0,0,8,0,0,4,0
123,1,4,0,3,3,10,0,2,0
124,1,4,0,3,3,10,0,2,0
125,1,3,2,5,3,6,0,2,0
126,0,3,0,0,0,7,0,3,0
127,0,2,0,0,0,4,0,1,0
128,1,2,0,6,0,2,0,1,0
129,0,3,0,8,2,0,1,4,0
130,0,3,0,8,2,0,1,4,0
131,0,2,2,6,4,0,3,0,0
132,0,2,2,6,4,0,3,0,0
133,0,2,2,6,4,0,3,0,0
134,0,2,2,6,4,0,3,0,0
135,0,3,1,9,1,0,0,0,0
136,0,3,1,9,1,0,0,0,0
137,0,3,1,9,1,0,0,0,0
138,0,1,2,9,3,0,0,0,0
139,3,3,2,7,3,0,0,0,0
140,3,3,2,7,3,0,0,0,0
141,3,3,2,7,3,0,0,0,0
142,3,3,2,7,3,0,0,0,0
143,0,2,2,8,3,0,2,1,0
144,0,2,2,8,3,0,2,1,0
145,1,3,0,9,3,0,0,0,0
146,1,3,0,9,3,0,0,0,0
147,0,2,1,10,3,0,1,1,0
148,0,2,1,10,3,0,1,1,0
149,0,2,1,10,3,0,1,1,0
150,0,2,1,10,3,0,1,1,0
151,1,2,0,2,0,1,0,1,1
152,1,7,2,6,3,3,0,2,0
153,2,4,7,11,2,0,4,1,0
154,1,5,0,10,3,0,0,1,0
155,1,5,0,10,3,0,0,1,0
156,0,3,0,14,0,0,0,0,0
157,1,4,1,7,0,0,0,0,0
158,2,2,0,6,2,1,1,0,0
159,2,2,0,6,2,1,1,0,0
160,1,4,0,10,3,0,1,2,0
161,1,4,0,10,3,0,1,2,0
162,0,0,0,8,2,1,0,1,0
163,0,0,0,8,2,1,0,1,0
164,0,0,0,8,2,1,0,1,0
165,0,0,0,8,2,1,0,1,0
166,0,0,0,8,2,1,0,1,0
167,0,3,2,9,1,0,0,2,0
168,0,3,2,9,1,0,0,2,0
169,0,3,2,9,1,0,0,2,0
170,0,3,2,9,1,0,0,2,0
171,0,2,2,6,3,0,3,1,0
172,0,2,2,6,3,0,3,1,0
173,1,2,4,8,4,0,3,3,0
174,1,2,4,8,4,0,3,3,0
175,2,3,5,7,4,0,4,3,0
176,0,3,5,9,3,0,5,1,0
177,0,3,5,9,3,0,5,1,0
178,2,2,2,9,2,0,4,1,0
179,2,2,2,9,2,0,4,1,0
180,2,2,2,9,2,0,4,1,0
181,2,2,2,9,2,0,4,1,0
182,2,7,1,8,3,0,1,3,0
183,2,7,1,8,3,0,1,3,0
184,1,6,1,11,0,1,0,0,0
185,2,9,2,6,3,0,0,0,0
186,1,6,1,11,0,1,0,0,0
187,1,6,1,11,0,1,0,0,0
188,1,6,1,11,0,1,0,0,0
189,2,6,0,10,0,1,0,0,0
